method,support_size,metric,estimate,ci_low,ci_high,target_domain,n_trials
shuffled_source_ebra,2,paired_gain_vs_target_control,0.33270214582732216,0.26583872051452084,0.4001879707489655,macro across held-out finger-count domains,100
shuffled_source_ebra,4,macro_component_log_mae,0.4495518795273184,0.3779991875245665,0.538056974798262,macro across held-out finger-count domains,100
shuffled_source_ebra,4,macro_relative_frobenius,0.42409393462394807,0.3650226915493932,0.4936940229094433,macro across held-out finger-count domains,100
shuffled_source_ebra,4,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_source_ebra,4,paired_gain_vs_target_control,0.16514799257125218,0.11694919314207791,0.21381438887128387,macro across held-out finger-count domains,100
shuffled_source_ebra,8,macro_component_log_mae,0.37150574495207456,0.3046164105889898,0.4487713830936604,macro across held-out finger-count domains,100
shuffled_source_ebra,8,macro_relative_frobenius,0.31478862270836255,0.2856644089217665,0.34679011116416086,macro across held-out finger-count domains,100
shuffled_source_ebra,8,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_source_ebra,8,paired_gain_vs_target_control,0.04831788667847917,0.0023216303996671916,0.09150894851983148,macro across held-out finger-count domains,100
shuffled_source_ebra,16,macro_component_log_mae,0.31989951017804147,0.26695578524164143,0.38926647891703875,macro across held-out finger-count domains,100
shuffled_source_ebra,16,macro_relative_frobenius,0.2569580245380453,0.23468532761726824,0.2803001099531707,macro across held-out finger-count domains,100
shuffled_source_ebra,16,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_source_ebra,16,paired_gain_vs_target_control,0.009617153483233437,-0.016778735481907135,0.037461312035334364,macro across held-out finger-count domains,100
shuffled_source_ebra,32,macro_component_log_mae,0.29461941383130313,0.24194609534492734,0.3653284479871124,macro across held-out finger-count domains,100
shuffled_source_ebra,32,macro_relative_frobenius,0.23695393814000454,0.2112048802756355,0.2649406079521526,macro across held-out finger-count domains,100
shuffled_source_ebra,32,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_source_ebra,32,paired_gain_vs_target_control,-0.004880126735053568,-0.02187512856357927,0.01253059318760563,macro across held-out finger-count domains,100
shuffled_source_ebra,64,macro_component_log_mae,0.28447427773960254,0.23263734618470605,0.35460029942093096,macro across held-out finger-count domains,100
shuffled_source_ebra,64,macro_relative_frobenius,0.22918748490782948,0.19915297507635613,0.2601859905222035,macro across held-out finger-count domains,100
shuffled_source_ebra,64,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_source_ebra,64,paired_gain_vs_target_control,-0.005210670676732463,-0.014166275083136743,0.004161433683935222,macro across held-out finger-count domains,100
shuffled_source_ebra,128,macro_component_log_mae,0.2762500575989585,0.22420896865252984,0.3436075007171197,macro across held-out finger-count domains,100
shuffled_source_ebra,128,macro_relative_frobenius,0.22356045863110036,0.19115260527513137,0.256472613375855,macro across held-out finger-count domains,100
shuffled_source_ebra,128,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_source_ebra,128,paired_gain_vs_target_control,-0.001077289348572785,-0.0063054752237530435,0.004242044886852569,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,1,macro_component_log_mae,0.5540111109873188,0.4540239558547252,0.667214120559272,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,1,macro_relative_frobenius,0.49825459410114503,0.4258120253093153,0.5843516852328016,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,1,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,1,paired_gain_vs_target_control,0.5173095515562939,0.4078564525277982,0.6359368631230976,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,2,macro_component_log_mae,0.4886203551461551,0.3999132404247798,0.6031153672320698,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,2,macro_relative_frobenius,0.4578349632083164,0.37370734760814006,0.5636406730076184,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,2,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,2,paired_gain_vs_target_control,0.36327087457198076,0.30008958169990707,0.42529763960715994,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,4,macro_component_log_mae,0.443827121577979,0.3640318995774281,0.547367427072991,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,4,macro_relative_frobenius,0.4210942790190062,0.35642890173824265,0.499834941619036,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,4,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,4,paired_gain_vs_target_control,0.17087275052059156,0.12575455202078192,0.21333832817811743,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,8,macro_component_log_mae,0.3631686495086701,0.2946547974010991,0.45219424901068717,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,8,macro_relative_frobenius,0.31689109860157305,0.27646194740025903,0.361542890239631,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,8,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,8,paired_gain_vs_target_control,0.056654982121883614,0.020017662133812505,0.09037409187368954,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,16,macro_component_log_mae,0.3070447028674534,0.2464899627983012,0.38778149373086884,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,16,macro_relative_frobenius,0.2357215010082963,0.2079962035065791,0.26467089425295964,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,16,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,16,paired_gain_vs_target_control,0.022471960793821487,-0.005547882788690219,0.04954340339841728,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,32,macro_component_log_mae,0.2838392088100633,0.22685519982162103,0.3553670492710208,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,32,macro_relative_frobenius,0.20845168144409784,0.1833904114349504,0.23616124802564367,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,32,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,32,paired_gain_vs_target_control,0.005900078286186354,-0.020682071155751023,0.03379499600157114,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,64,macro_component_log_mae,0.27988109337211337,0.22708115353482458,0.3441608216360841,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,64,macro_relative_frobenius,0.20988511172850471,0.1812579226815011,0.24099169879618912,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,64,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,64,paired_gain_vs_target_control,-0.0006174863092432515,-0.02063663726519015,0.020689188223938147,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,128,macro_component_log_mae,0.2767437548446935,0.2247476640439388,0.33837284000446105,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,128,macro_relative_frobenius,0.21274448652829028,0.1798141072611822,0.2501784607618896,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,128,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_source_retrieval_2048_ebra,128,paired_gain_vs_target_control,-0.0015709865943077648,-0.01830074786820324,0.016003922026460417,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,0,macro_component_log_mae,0.9654729338866403,0.8030256033382139,1.1172837980068069,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,0,macro_relative_frobenius,0.606516532516953,0.5250068394079165,0.6783140541176902,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,0,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,1,macro_component_log_mae,0.6110962786131334,0.4952092023478939,0.7286219594923253,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,1,macro_relative_frobenius,0.436923405365626,0.3732617712770042,0.5024853090034578,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,1,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,1,paired_gain_vs_target_control,0.46022438393047926,0.26866186094712624,0.6673908893275565,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,2,macro_component_log_mae,0.5580445432606027,0.4603523117951121,0.6560976356988565,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,2,macro_relative_frobenius,0.42484690846725315,0.3709889142253543,0.4827745488710198,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,2,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,2,paired_gain_vs_target_control,0.2938466864575332,0.16139417080456697,0.43204115997621145,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,4,macro_component_log_mae,0.4878230073813823,0.4021954186475295,0.5845243012886987,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,4,macro_relative_frobenius,0.39029129923857137,0.34006114518910074,0.44252720625835096,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,4,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,4,paired_gain_vs_target_control,0.12687686471718826,0.01783502285980025,0.2222440535620592,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,8,macro_component_log_mae,0.41420638746274313,0.3320047440246394,0.499426616319509,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,8,macro_relative_frobenius,0.3207010914491871,0.2774633431223148,0.3638900227611741,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,8,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,8,paired_gain_vs_target_control,0.005617244167810562,-0.08338453033453054,0.08854294423756556,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,16,macro_component_log_mae,0.3596274457094298,0.29458136084277925,0.4300529464162689,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,16,macro_relative_frobenius,0.28194916593210134,0.2450762391390181,0.32140160892209235,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,16,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,16,paired_gain_vs_target_control,-0.030110782048154795,-0.09139800144091571,0.029632523250621188,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,32,macro_component_log_mae,0.3308404115841649,0.273755235132124,0.39929978207519257,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,32,macro_relative_frobenius,0.26319248217876323,0.2354953703038011,0.2976270654473619,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,32,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,32,paired_gain_vs_target_control,-0.04110112448791532,-0.07958702218400092,-0.003463596120901477,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,64,macro_component_log_mae,0.3143591944410432,0.257868784057081,0.38007108026499603,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,64,macro_relative_frobenius,0.24904046836045496,0.22302476945829763,0.2780379088265466,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,64,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,64,paired_gain_vs_target_control,-0.0350955873781731,-0.05691987202027293,-0.014429035258563573,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,128,macro_component_log_mae,0.30301176142949227,0.2462385427986268,0.3717753817481637,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,128,macro_relative_frobenius,0.24027309029061605,0.21142621470967396,0.2690645733164,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,128,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
shuffled_v0_gaussian64_ebra,128,paired_gain_vs_target_control,-0.027838993179106458,-0.04681439225078748,-0.011986202355414024,macro across held-out finger-count domains,100
source_active_gds_ebra,0,macro_component_log_mae,0.9038622032249126,0.851159264309799,0.9562466787434184,macro across held-out finger-count domains,100
source_active_gds_ebra,0,macro_relative_frobenius,0.6360212741895185,0.6008335369353196,0.6687344429400153,macro across held-out finger-count domains,100
source_active_gds_ebra,0,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
source_active_gds_ebra,1,macro_component_log_mae,0.680757592897069,0.6339943004810057,0.7320501713478657,macro across held-out finger-count domains,100
source_active_gds_ebra,1,macro_relative_frobenius,0.5592391947175865,0.49212023423251894,0.6376813050532826,macro across held-out finger-count domains,100
source_active_gds_ebra,1,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
source_active_gds_ebra,1,paired_gain_vs_target_control,0.3905630696465437,0.2891428631601769,0.5190101800460378,macro across held-out finger-count domains,100
source_active_gds_ebra,2,macro_component_log_mae,0.6547077018165303,0.5904575485612381,0.7460691879268435,macro across held-out finger-count domains,100
source_active_gds_ebra,2,macro_relative_frobenius,0.6298340493900592,0.4972603968530541,0.8101197937964439,macro across held-out finger-count domains,100
source_active_gds_ebra,2,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
source_active_gds_ebra,2,paired_gain_vs_target_control,0.19718352790160565,0.12250214013890434,0.2825393150901624,macro across held-out finger-count domains,100
source_active_gds_ebra,4,macro_component_log_mae,0.6171155866092225,0.5232660319803448,0.749859447102253,macro across held-out finger-count domains,100
source_active_gds_ebra,4,macro_relative_frobenius,0.6800466329357672,0.5006310805794298,0.9342350872593983,macro across held-out finger-count domains,100
source_active_gds_ebra,4,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
source_active_gds_ebra,4,paired_gain_vs_target_control,-0.0024157145106519784,-0.06634827435812977,0.06357052131901486,macro across held-out finger-count domains,100
source_active_gds_ebra,8,macro_component_log_mae,0.5507548226863024,0.4180632300610617,0.7651945820192008,macro across held-out finger-count domains,100
source_active_gds_ebra,8,macro_relative_frobenius,0.5153235061344054,0.40369329261475617,0.6734481569126712,macro across held-out finger-count domains,100
source_active_gds_ebra,8,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
source_active_gds_ebra,8,paired_gain_vs_target_control,-0.13093119105574852,-0.2644290183837232,-0.052893021277719145,macro across held-out finger-count domains,100
source_active_gds_ebra,16,macro_component_log_mae,0.39982160029931435,0.2942314048770087,0.582136178720215,macro across held-out finger-count domains,100
source_active_gds_ebra,16,macro_relative_frobenius,0.3448800737142272,0.2381682065427444,0.4954608963880334,macro across held-out finger-count domains,100
source_active_gds_ebra,16,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
source_active_gds_ebra,16,paired_gain_vs_target_control,-0.07030493663803941,-0.17279755495836172,-0.0057665158853800035,macro across held-out finger-count domains,100
source_active_gds_ebra,32,macro_component_log_mae,0.2927951298907867,0.19775485479984353,0.43903138606673775,macro across held-out finger-count domains,100
source_active_gds_ebra,32,macro_relative_frobenius,0.22000225094741288,0.14486546874962694,0.34318164499171533,macro across held-out finger-count domains,100
source_active_gds_ebra,32,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
source_active_gds_ebra,32,paired_gain_vs_target_control,-0.0030558427945370824,-0.08397159650478542,0.05574010449628025,macro across held-out finger-count domains,100
source_active_gds_ebra,64,macro_component_log_mae,0.24520007785856643,0.1591764489832057,0.3867904521248414,macro across held-out finger-count domains,100
source_active_gds_ebra,64,macro_relative_frobenius,0.18692254900695507,0.11092633589188393,0.3140818635241563,macro across held-out finger-count domains,100
source_active_gds_ebra,64,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
source_active_gds_ebra,64,paired_gain_vs_target_control,0.03406352920430365,-0.04267126886850781,0.09305018627416996,macro across held-out finger-count domains,100
source_active_gds_ebra,128,macro_component_log_mae,0.21500531367095682,0.1367586287490153,0.34988842495005235,macro across held-out finger-count domains,100
source_active_gds_ebra,128,macro_relative_frobenius,0.1523076521777492,0.09079875218943452,0.24925710916139546,macro across held-out finger-count domains,100
source_active_gds_ebra,128,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
source_active_gds_ebra,128,paired_gain_vs_target_control,0.060167454579428944,-0.014728337273647136,0.11807158642764323,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,0,macro_component_log_mae,1.3141535194401488,1.212726404667635,1.4206067429373381,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,0,macro_relative_frobenius,1.1960792068345891,0.775013690171531,1.6798033870160212,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,0,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,1,macro_component_log_mae,0.6273944376615694,0.5160392254483666,0.7556471586375607,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,1,macro_relative_frobenius,0.5301488257075613,0.399166021684468,0.6814580791379886,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,1,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,1,paired_gain_vs_target_control,0.4439262248820433,0.31852943789810184,0.5739397609555417,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,2,macro_component_log_mae,0.5485410126233867,0.4614740744858299,0.6571204764302053,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,2,macro_relative_frobenius,0.5136979813300628,0.38969177431958496,0.6530933098067456,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,2,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,2,paired_gain_vs_target_control,0.3033502170947492,0.22509874061143906,0.3895889362770463,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,4,macro_component_log_mae,0.49367548194466887,0.422608206649438,0.5932832026297764,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,4,macro_relative_frobenius,0.488061496738854,0.3834534775367594,0.6012306321204325,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,4,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,4,paired_gain_vs_target_control,0.12102439015390165,0.06195672214950353,0.18601236772103236,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,8,macro_component_log_mae,0.4374107068670618,0.35836612143253466,0.5784204425640946,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,8,macro_relative_frobenius,0.36211336250149884,0.31217508933657034,0.43069392684095215,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,8,physical_valid_rate,1.0,1.0,1.0,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,8,paired_gain_vs_target_control,-0.017587075236508137,-0.07669149513862385,0.0368275555386365,macro across held-out finger-count domains,100
source_all_cached_descriptors_ebra,16,macro_component_log_mae,0.33094387690962246,0.276409665540109,0.4257141368696524,macro across held-out finger-count domains,100
